0 00013 0+16.859+6.32+2158
1 00013 0+16.859+6.33+2158
2 00013 0+16.859+6.33+2158
3 00013 0+16.859+6.34+2158
4 00013 0+16.867+6.34+2159
5 00013 0+16.867+6.34+2159
6 00013 0+16.875+6.32+2160
7 00013 0+16.875+6.36+2160
0 00013 0+16.898+6.33+2163
1 00013 0+16.898+6.34+2163
2 00013 0+16.906+6.34+2164
3 00013 0+16.906+6.36+2164
4 00013 0+16.914+6.36+2165
5 00013 0+16.906+6.36+2164
6 00013 0+16.914+6.32+2165
7 00013 0+16.914+6.31+2165
0 00013 0+16.961+6.37+2171Jwd
1 00013 0+16.961+6.37+2171Jwd
2 00013 0+16.961+6.36+2171Gse
3 00013 0+16.969+6.35+2172BzO
4 00013 0+16.977+6.32+2173GJF
5 00013 0+16.969+6.34+2172O~N
6 00013 0+16.969+6.33+2172DbO
7 00013 0+16.977+6.32+2173GJF
8 00013 0+16.977+6.33+2173JNG
9 00013 0+16.977+6.35+2173LVG
10 00013 0+16.984+6.34+2174H[\
